ErrorRate,Protocol,Mode,Throughput
0.0001,TcpNewReno,Base,1.9204
0.0001,TcpWestwood,Base,1.9204
0.0001,TcpWestwood,Adaptive,1.9204
0.001,TcpNewReno,Base,1.87562
0.001,TcpWestwood,Base,1.91854
0.001,TcpWestwood,Adaptive,1.91854
0.01,TcpNewReno,Base,0.816672
0.01,TcpWestwood,Base,1.79152
0.01,TcpWestwood,Adaptive,1.77484
0.02,TcpNewReno,Base,0.506047
0.02,TcpWestwood,Base,1.52272
0.02,TcpWestwood,Adaptive,1.66566
0.05,TcpNewReno,Base,0.259308
0.05,TcpWestwood,Base,0.567732
0.05,TcpWestwood,Adaptive,0.606075
0.1,TcpNewReno,Base,0.143642
0.1,TcpWestwood,Base,0.173876
0.1,TcpWestwood,Adaptive,0.163161
0.5,TcpNewReno,Base,0.00683456
