BurstRate,Protocol,Mode,Throughput
0.01,TcpNewReno,Adaptive,0.676737
0.01,TcpWestwood,Base,1.54658
0.01,TcpWestwood,Adaptive,1.54032
0.02,TcpNewReno,Adaptive,0.301358
0.02,TcpWestwood,Base,1.01933
0.02,TcpWestwood,Adaptive,0.988173
0.05,TcpNewReno,Adaptive,0.044135
0.05,TcpWestwood,Base,0.0946413
0.05,TcpWestwood,Adaptive,0.087633
0.1,TcpNewReno,Adaptive,0.022473
0.1,TcpWestwood,Base,0.0235155
0.1,TcpWestwood,Adaptive,0.0235155
0.15,TcpNewReno,Adaptive,0.0194611
0.15,TcpWestwood,Base,0.0191136
0.15,TcpWestwood,Adaptive,0.0181869
0.2,TcpNewReno,Adaptive,0.00399648
0.2,TcpWestwood,Base,0.00399648
0.2,TcpWestwood,Adaptive,0.00399648
