FlowId,Protocol,Mode,Throughput
FlowId,Protocol,Mode,Throughput
0,TcpNewReno,Base,2.07265
1,TcpNewReno,Base,1.97533
2,TcpNewReno,Base,1.95445
3,TcpNewReno,Base,2.24569
4,TcpNewReno,Base,2.11477
FlowId,Protocol,Mode,Throughput
0,TcpWestwood,Base,1.82389
1,TcpWestwood,Base,1.87057
2,TcpWestwood,Base,2.17429
3,TcpWestwood,Base,2.31229
4,TcpWestwood,Base,2.18185
FlowId,Protocol,Mode,Throughput
0,TcpWestwood,Adaptive,1.80385
1,TcpWestwood,Adaptive,2.07445
2,TcpWestwood,Adaptive,2.16517
3,TcpWestwood,Adaptive,2.18625
4,TcpWestwood,Adaptive,2.13325
