Time,CwndBytes
1.18922,15928
1.20124,17376
1.21326,18824
1.22527,20272
1.23729,21720
1.28671,23168
1.29873,24616
1.31074,26064
1.32276,27512
1.33478,28960
1.34679,30408
1.35881,31856
1.3842,33304
1.39622,34752
1.40823,36200
1.42025,37648
1.43227,39096
1.45634,37648
1.53444,36924
1.54045,36200
1.54646,35476
1.55246,34752
1.55847,34028
1.56448,33304
1.57049,32580
1.5765,31856
1.5825,31132
1.58851,30408
1.59452,29684
1.60053,28960
1.60654,28236
1.61251,18100
1.61251,18215
1.62452,18330
1.63654,18444
1.64855,18557
1.66057,18669
1.67259,18781
1.6846,18892
1.69662,19002
1.70863,19112
1.72065,19221
1.76407,19330
1.77608,19438
1.7881,19545
1.80011,19652
1.81213,19758
1.82415,19864
1.86156,19969
1.87357,20073
1.90365,17376
1.97114,16652
1.97714,15928
1.9892,13756
1.99521,13032
2.00122,12308
2.00718,11584
2.01319,10860
2.0192,10136
2.02521,9412
2.03122,7964
2.0927,8227
2.11669,8481
2.17216,8728
2.21418,8968
2.26965,9201
2.28167,9428
2.31768,9650
2.37315,9867
2.38516,10079
2.42117,10287
2.47664,10490
2.48866,10689
2.52467,10885
2.57413,11077
2.58615,11266
2.62216,11452
2.67162,11635
2.68364,11815
2.71965,11992
2.76911,12166
2.78113,12338
2.79314,12507
2.82314,12674
2.87261,12839
2.88462,13002
2.89664,13163
2.92664,13322
2.9761,13479
2.98812,13634
3.00014,13787
3.02413,13939
3.07359,14089
3.08561,14237
3.09762,14384
3.12162,14529
3.17108,14673
3.1831,14815
3.19511,14956
3.21911,15096
3.23112,15234
3.27458,15371
3.28659,15507
3.29861,15642
3.3226,15776
3.33462,15908
3.37807,16039
3.39009,16169
3.40211,16298
3.4261,16426
3.43812,16553
3.48157,16679
3.49359,16804
3.5056,16928
3.52359,17051
3.5356,17173
3.57906,17295
3.59108,17416
3.60309,17536
3.62108,17655
3.63309,17773
3.67655,17890
3.68856,18007
3.70058,18123
3.7126,18238
3.72461,18352
3.73663,18466
3.78005,18579
3.79206,18691
3.80408,18803
3.81609,18914
3.82811,19024
3.84013,19134
3.88354,19243
3.89556,19351
3.90757,19459
3.91959,19566
3.93161,19673
3.94362,19779
3.98103,19885
3.99305,19990
4.00506,20094
4.01708,20198
4.0291,20301
4.04111,20404
4.07852,20506
4.09054,20608
4.10255,20709
4.11457,20810
4.12658,20910
4.1386,21010
4.15062,21109
4.18202,21208
4.19403,21306
4.20605,21404
