Time,CwndBytes
1.18922,15928
1.20124,17376
1.21326,18824
1.22527,20272
1.23729,21720
1.28671,23168
1.29873,24616
1.31074,26064
1.32276,27512
1.33478,28960
1.34679,30408
1.35881,31856
1.3842,33304
1.39622,34752
1.40823,36200
1.42025,37648
1.43227,39096
1.45634,37938
1.46234,38228
1.46835,38517
1.47436,38807
1.48037,39096
1.48638,39386
1.49238,39676
1.49839,39965
1.5044,40255
1.51041,40544
1.51642,40834
1.52242,41124
1.52843,41413
1.53444,40834
1.54045,40255
1.54646,39676
1.55246,39096
1.55847,38517
1.56448,37938
1.57049,37359
1.5765,36780
1.5825,36200
1.58851,35621
1.59452,35042
1.60053,34463
1.60654,33884
1.61251,21720
1.61251,21816
1.62452,21912
1.63654,22007
1.64855,22102
1.66057,22196
1.67259,22290
1.6846,22384
1.69662,22477
1.70863,22570
1.72065,22662
1.73267,22754
1.74468,22846
1.77007,22937
1.78209,23028
1.79411,23119
1.80612,23209
1.81814,23299
1.83015,23388
1.87361,23168
1.87962,24616
1.88563,26064
1.89163,27512
1.89764,28960
2.0492,29032
2.06122,29104
2.07323,29176
2.08525,29247
2.09727,29318
2.10928,29389
2.1213,29460
2.13331,29531
2.14533,29602
2.15735,29672
2.16936,29742
2.18138,29812
2.19339,29882
2.20541,29952
2.21743,30022
2.22944,30091
2.24146,30160
2.25347,30229
2.26549,30298
2.27751,30367
2.28952,30436
2.30154,30504
2.31355,30572
2.32557,30640
2.33759,30708
2.3496,30776
2.36162,30844
2.37363,30911
2.38565,30978
2.39767,31045
2.40968,31112
2.4217,31179
2.43371,31246
2.44573,31313
2.45775,31379
2.46976,31445
2.48178,31511
2.49379,31577
2.50581,31643
2.51783,31709
2.52984,31775
2.54186,31840
2.55387,31905
2.56589,31970
2.57791,32035
2.58992,32100
2.60194,32165
2.61395,32230
2.62597,32295
2.63799,32359
2.65,32423
2.66202,32487
2.67403,32551
2.68605,32615
2.69807,32679
2.71008,32743
2.7221,32807
2.73411,32870
2.74613,32933
2.75815,32996
2.77016,33059
2.78218,33122
2.79419,33185
2.80621,33248
2.81823,33311
2.83024,33373
2.84226,33435
2.85427,33497
2.86629,33559
2.87831,33621
2.89032,33683
2.90234,33745
2.91435,33807
2.92637,33869
2.93839,33930
2.9504,33991
2.96242,34052
2.97443,34113
2.98645,34174
2.99847,34235
3.01048,34296
3.0225,34357
3.03451,34418
3.04653,34478
3.05855,34538
3.07056,34598
3.08258,34658
3.09459,34718
