Time,CwndBytes
1.18922,15928
1.20124,17376
1.21326,18824
1.22527,20272
1.23729,21720
1.28671,23168
1.29873,24616
1.31074,26064
1.32276,27512
1.33478,28960
1.34679,30408
1.35881,31856
1.3842,33304
1.39622,34752
1.40823,36200
1.42025,37648
1.43227,39096
1.45634,37822
1.46234,37996
1.46835,38170
1.47436,38344
1.48037,38517
1.48638,38691
1.49238,38865
1.49839,39039
1.5044,39212
1.51041,39386
1.51642,39560
1.52242,39734
1.52843,39907
1.53444,39270
1.54045,38633
1.54646,37996
1.55246,37359
1.55847,36722
1.56448,36085
1.57049,35448
1.5765,34810
1.5825,34173
1.58851,33536
1.59452,32899
1.60053,32262
1.60654,31625
1.61251,20272
1.61251,20375
1.62452,20477
1.63654,20579
1.64855,20680
1.66057,20781
1.67259,20881
1.6846,20981
1.69662,21080
1.70863,21179
1.72065,21277
1.73267,21375
1.76407,21473
1.77608,21570
1.7881,21667
1.80011,21763
1.81213,21859
1.82415,21954
1.83616,22049
1.88563,21720
1.89163,23168
1.89764,24616
1.90365,26064
1.90966,27512
1.91567,28960
2.07323,29032
2.08525,29104
2.09727,29176
2.10928,29247
2.1213,29318
2.13331,29389
2.14533,29460
2.15735,29531
2.16936,29602
2.18138,29672
2.19339,29742
2.20541,29812
2.21743,29882
2.22944,29952
2.24146,30022
2.25347,30091
2.26549,30160
2.27751,30229
2.28952,30298
2.30154,30367
2.31355,30436
2.32557,30504
2.33759,30572
2.3496,30640
2.36162,30708
2.37363,30776
2.38565,30844
2.39767,30911
2.40968,30978
2.4217,31045
2.43371,31112
2.44573,31179
2.45775,31246
2.46976,31313
2.48178,31379
2.49379,31445
2.50581,31511
2.51783,31577
2.52984,31643
2.54186,31709
2.55387,31775
2.56589,31840
2.57791,31905
2.58992,31970
2.60194,32035
2.61395,32100
2.62597,32165
2.63799,32230
2.65,32295
2.66202,32359
2.67403,32423
2.68605,32487
2.69807,32551
2.71008,32615
2.7221,32679
2.73411,32743
2.74613,32807
2.75815,32870
2.77016,32933
2.78218,32996
2.79419,33059
2.80621,33122
2.81823,33185
2.83024,33248
2.84226,33311
2.85427,33373
2.86629,33435
2.87831,33497
2.89032,33559
2.90234,33621
2.91435,33683
2.92637,33745
2.93839,33807
2.9504,33869
2.96242,33930
2.97443,33991
2.98645,34052
2.99847,34113
3.01048,34174
3.0225,34235
3.03451,34296
3.04653,34357
3.05855,34418
3.07056,34478
3.08258,34538
3.09459,34598
3.10661,34658
